id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual
R00048,20,1,1,0,15,12,4,48900.76,3776.17
R00049,25,5,2,0,15,12,4,33527,2194.6
R00050,28,5,1,0,15,13,4,62790.65,4364.91
R00051,45,1,1,0,15,12,1,108043.99,22696.12
R00052,23,5,1,0,15,15,4,38071.37,9203.46
R00053,25,5,1,0,15,12,4,48608.52,16597.87
R00054,26,1,1,0,15,14,4,52036.24,10080.57
R00055,48,1,1,2,15,15,1,148380.6,14625.58
R00056,30,3,1,0,15,13,4,42503.95,3884.09
R00057,33,1,1,2,15,13,4,91360.76,6870.86
R00058,24,5,1,1,15,12,4,51233.68,3634.91
R00059,28,1,1,0,15,13,1,58350.12,3914.69
R00060,20,4,1,0,15,12,4,32961.02,2670.99
R00061,26,5,1,0,15,16,4,75203.77,11756.05
R00062,28,4,1,0,15,14,2,50418.12,9270.24
R00063,21,5,1,0,15,13,4,46261.75,8172.96
R00064,74,3,1,0,15,14,1,56588.52,39406.29
R00065,28,1,1,0,15,13,4,47042.8,17296.14
R00066,25,1,1,0,15,12,4,72153.65,10737.54
R00067,18,5,2,0,15,13,6,1923.42,912.38
R00068,23,1,1,0,15,12,4,40868.77,2358.2
R00069,47,1,1,1,14,12,2,57522.6,8891.68
R00070,22,5,2,0,14,12,4,49599.44,21926.36
R00071,70,1,1,0,14,12,1,41281.07,10267
R00072,38,5,1,1,14,12,4,50071.16,11733.21
R00073,60,1,1,3,14,11,4,56602.72,17671.89
R00074,30,1,1,1,14,13,4,25405.04,4456.31
R00075,17,5,1,1,14,11,4,102622.46,10095.45
R00076,57,1,1,0,14,14,2,65628.34,2220.73
R00077,28,1,1,0,14,16,4,93252.76,6889
R00078,44,5,1,0,14,0,4,24526.1,2052.46
R00079,56,1,1,0,14,10,4,26255.5,2615.75
R00080,81,2,1,0,14,14,2,77235.79,14643.89
R00081,63,1,1,0,14,12,2,61752.45,9103.21
R00082,38,1,1,4,14,13,1,113111.58,16110.75
R00083,48,4,1,0,14,10,4,50386.1,23350.05
R00084,38,1,1,2,14,12,1,59478.15,12825.43
R00085,67,3,2,0,14,14,5,26372.93,1421.58
R00086,46,5,1,0,14,0,4,47734.83,8957.7
R00087,48,5,1,0,14,14,4,21144.19,7881.84
R00088,68,1,1,0,14,12,4,61741.63,14543.74
R00089,43,1,1,0,14,12,2,45388.91,3756.99
R00090,55,5,2,0,14,13,4,28865.71,3145.95
R00091,45,1,1,1,14,12,4,38697.61,1569.77
R00092,61,1,1,1,14,12,1,100323.74,9144.72
R00093,60,1,1,2,14,15,1,40247.46,14198.35
R00094,52,1,1,1,14,11,4,45353.89,2201.06
R00095,50,1,1,1,14,15,1,87052.81,13407.15
R00096,30,1,2,2,14,15,4,39603.16,1807.46
R00097,28,5,1,0,14,11,4,24628.92,16326.16
R00098,33,5,2,0,14,15,4,30524.48,5531.12
R00099,66,1,1,0,14,13,1,53978.49,7775.49
R00100,61,1,2,0,14,11,2,15090.22,1498.85
R00101,54,1,2,0,14,15,1,23327.53,3675.92
R00102,54,3,1,1,14,13,4,57278.36,4209.51
R00103,33,5,2,2,14,12,4,17451.93,2821.03
R00104,35,1,1,0,14,15,1,61298.45,4421.55
R00105,34,5,1,2,14,11,4,45460.9,10697.44
R00106,46,1,1,4,14,0,4,47322.33,7593.81
R00107,20,5,1,0,14,13,4,5983.89,778.22
R00108,22,5,1,0,14,13,4,5255.69,3046.86
R00109,47,1,1,0,14,13,2,28782.78,7715.83
R00110,54,5,2,1,14,15,4,44718.97,6949.26
R00111,29,1,1,1,14,15,4,28827.66,5459.15
R00112,20,5,1,0,14,13,4,11931.18,1866.21
R00113,33,1,1,1,14,12,1,71628.61,1385.04
R00114,47,1,1,0,14,12,4,55876.88,9181.48
R00115,78,2,1,0,14,13,1,21576.03,4875.96
R00116,40,5,1,0,14,16,4,36344,12829.44
R00117,25,5,2,0,14,15,1,36297.02,4420.24
R00118,36,1,2,2,14,11,4,28102.04,18388.66
R00119,51,1,2,1,14,11,1,66573.8,3853.5
R00120,49,1,1,0,14,12,1,104609.73,6398.32
R00121,35,1,2,2,14,15,1,56223.13,9137.62
R00122,75,1,1,0,14,16,2,61619.79,22807.35
R00123,52,4,1,0,14,10,4,24087.95,3627.73
R00124,75,1,1,0,14,12,4,67232.32,5448.52
R00125,53,3,1,0,14,12,1,-18583.31,5023.43
R00126,55,3,1,1,14,15,1,90606.76,4368.05
R00127,58,1,1,0,14,11,2,49278.8,2467.2
R00128,37,1,1,3,14,15,1,80308.03,5093.05
R00129,57,1,1,0,13,12,1,115106.71,22093.2
R00130,45,1,1,0,13,15,4,92753.01,6710.81
R00131,68,1,2,0,13,13,1,32598.46,5928.02
R00132,46,3,1,0,13,12,2,12238.63,2254.05
R00133,27,5,1,0,13,12,4,21340.53,3342.63
R00134,42,1,1,4,13,15,1,400127.36,13036.97
R00135,40,3,1,1,13,11,1,95147.47,11443.06
R00136,50,1,1,2,13,15,2,289304.34,40919.93
R00137,75,4,2,0,13,10,1,16560.38,3704.92
R00138,44,4,1,1,13,13,2,58186.73,3597.66
R00139,55,3,1,3,13,10,4,12649.16,2015.38
R00140,33,1,1,5,13,10,4,47103.18,2779.53
R00141,54,1,1,0,13,14,5,53594.1,16028.49
R00142,58,1,2,0,13,13,1,219871.52,15491.34
R00143,52,3,1,0,13,10,2,5489.84,3405.3
R00144,65,5,1,0,13,12,2,43699.05,12913.64
R00145,25,5,1,0,13,15,4,45125.8,8532.49
R00146,35,1,2,2,13,12,4,19394.85,5499.66
R00147,27,1,2,0,13,15,1,96540.69,10536.45
R00148,35,3,2,0,13,11,4,41067.86,10103.02
R00149,43,1,2,4,13,10,4,68625.38,7237.67
R00150,68,1,2,0,13,13,2,40143.25,5384.23
R00151,60,2,1,0,13,12,1,303.32,3180.93
R00152,57,1,2,0,13,13,2,37812.33,13603.48
R00153,60,1,1,0,13,11,2,179317.73,17929.97
R00154,59,5,1,0,13,12,2,10290.2,4939.58
R00155,62,1,1,0,13,12,2,65171.06,18723.53
R00156,42,3,2,2,13,12,4,13198.95,4067.56
R00157,69,1,1,0,13,16,1,106545.81,21493.51
R00158,59,1,2,0,13,15,2,37117.1,11391.65
R00159,58,1,1,0,13,10,2,53272.63,6623.99
R00160,26,5,1,2,13,12,2,197574.33,41791.75
R00161,21,5,1,0,13,13,4,10345.88,4242.47
R00162,22,5,1,0,13,13,4,20031.11,3244.58
R00163,27,1,1,0,13,16,1,146387.92,9343.25
R00164,77,2,1,0,13,12,2,244406.88,5641.24
R00165,69,1,1,0,13,12,1,118284.02,23383.59
R00166,30,1,1,0,13,15,1,63867.69,2598.23
R00167,35,1,2,5,13,15,1,60873.32,4344.29
R00168,33,4,2,2,13,10,4,24741.48,2616.29
R00169,59,5,1,0,13,11,5,2359.87,778.58
R00170,51,1,1,0,13,15,1,119504.89,4928.62
R00171,42,1,1,1,13,13,1,69333.48,2538.15
R00172,47,3,2,2,13,10,4,78055.83,12057.44
R00173,79,2,2,0,13,15,2,51388.59,11488.98
R00174,55,3,1,1,13,12,2,42775,8460.07
R00175,33,1,1,1,13,14,1,34852.82,5184.01
R00176,50,5,1,0,13,13,2,38042.17,3124.25
R00177,55,1,1,0,13,15,1,184615.45,19869.6
R00178,42,3,1,0,13,12,2,37601.68,8775.55
R00179,43,3,1,0,13,13,4,35344.91,2243.83
R00180,51,3,2,0,13,14,4,12406.85,1560.46
R00181,49,1,1,2,13,11,4,22220.95,1335.98
R00182,62,1,1,0,13,12,2,26569.6,1676.61
R00183,62,3,2,0,13,13,2,22421.15,4284.88
R00184,46,1,2,0,13,13,1,195725.09,23384.99
R00185,33,4,1,1,13,11,2,90345.91,9156.56
R00186,28,1,1,2,13,15,4,49431.1,22960.45
R00187,55,1,1,0,13,15,1,107383.07,3231.5
R00188,18,5,2,2,13,12,5,51736.03,8153.46
R00189,21,5,1,0,13,14,4,61232.08,29514.25
R00190,43,1,2,0,13,11,4,97204.68,14341.18
R00191,70,1,1,0,13,16,1,156782.79,18645.99
R00192,51,5,1,0,13,12,4,12235,8414.68
R00193,46,1,1,2,13,13,1,101053.5,25505.54
R00194,52,1,2,0,13,10,2,51778.13,4418.1
R00195,54,1,2,0,13,12,2,193195.64,16925.19
R00196,40,1,1,4,13,12,4,50030.99,4825.85
R00197,45,1,1,2,13,16,2,78995.31,10922.52
R00198,62,1,1,1,13,11,4,34464.26,2781.23
R00199,45,1,1,1,13,11,4,33197.68,3362.57
R00200,38,1,2,3,13,12,4,38674.7,2277.68
R00201,30,5,2,0,13,15,4,6439.44,4231.45
R00202,56,3,1,0,13,12,4,22337.53,1299.77
R00203,47,1,1,3,13,14,4,143924.72,67627.32
R00204,25,1,2,1,13,15,5,128729.33,8493.37
R00205,31,1,1,1,13,13,1,84318.42,4702.7
R00206,52,1,1,0,13,12,2,88375.66,8797.38
R00207,29,4,1,2,13,11,4,34279.58,7738.59
R00208,51,4,2,2,13,10,4,20490.06,7479.63
R00209,35,1,2,4,13,12,2,47374.44,11739.72
R00210,56,1,1,1,13,11,2,50031.36,6978.91
R00211,24,5,1,0,13,15,4,30281.5,7894.56
R00212,47,1,1,0,13,12,2,45764.57,7375.76
R00213,35,5,1,0,13,12,2,27902.08,3032.69
R00214,44,5,1,0,13,14,2,10395.42,4307.78
R00215,44,3,2,0,13,15,4,38358.55,2799.77
R00216,24,5,1,0,13,12,1,48148.48,32526.27
R00217,47,1,2,2,13,11,4,41177.89,5930.77
R00218,35,1,1,1,13,13,4,40791.37,2794.39
R00219,72,1,1,0,13,13,2,240167.08,6134.48
R00220,47,1,2,0,13,15,2,179946.23,4146.37
R00221,40,4,2,0,13,13,2,17988.7,937.24
R00222,23,5,1,3,13,11,2,20526.54,1440.04
R00223,21,5,1,0,13,13,4,2476.41,645.19
R00224,38,1,1,2,13,12,5,55846.73,3145.89
R00225,59,3,1,0,13,16,1,219023.23,4366.61
R00226,54,1,1,0,13,12,4,15942.73,4664.61
R00227,36,1,2,3,13,15,5,16428.41,5262.92
R00228,40,5,1,0,13,12,1,101107.86,7004.25
R00229,24,1,1,1,13,12,1,72393.85,3562.73
R00230,68,1,1,0,13,12,1,146515.51,6042.22
R00231,19,5,1,2,13,12,2,58679.74,10629.79
R00232,51,1,2,0,13,12,2,144257.13,16152.35
R00233,22,3,2,1,13,13,1,44279.4,10049.48
R00234,57,1,2,0,13,12,2,4707.73,22837.78
R00235,62,1,1,0,13,13,2,82347.35,24789.81
R00236,42,4,1,2,13,10,4,31491.77,5854.03
R00237,54,4,2,0,13,13,5,34254.34,5227
R00238,66,1,1,0,13,14,2,28667.43,15622.24
R00239,46,1,2,1,13,13,1,9066.92,4514.05
R00240,46,1,2,1,13,13,1,191265.9,139028.08
R00241,65,1,1,0,13,15,2,64300.05,7041.58
R00242,33,1,1,2,13,15,1,80150.26,3119.22
R00243,37,1,1,4,13,10,1,55384.17,2824.6
R00244,53,5,1,0,13,12,5,35522.8,4562.96
R00245,27,5,1,0,13,10,4,40328.98,3949.52
R00246,34,1,2,2,13,11,2,36464.13,16633.55
R00247,65,5,2,0,13,13,2,20152.62,1671.74
R00248,61,1,1,1,13,10,4,50181.02,10157.84
R00249,65,1,1,0,13,10,2,83111.31,11760.42
R00250,58,3,1,0,13,12,4,25518.27,4595.9
R00251,42,5,1,0,13,12,2,19546.05,3100.6
R00252,69,5,1,0,13,12,2,14728.97,1856.2
R00253,31,1,1,1,13,15,1,114189.19,6685.71
R00254,33,1,1,0,13,15,4,63196.68,4000.68
R00255,68,3,1,0,12,12,2,149963.93,14111.93
R00256,59,1,1,1,12,11,1,50280.16,33259.31
R00257,43,3,2,0,12,12,2,205982.69,13617.76
R00258,45,5,1,0,12,11,4,25829.39,5356.3
R00259,42,1,1,0,12,14,1,60798.85,8832.06
R00260,56,4,2,0,12,14,4,24347.95,7497.51
R00261,54,1,1,0,12,12,2,89252.9,18371.56
R00262,46,1,1,1,12,11,1,72192.14,9824.87
R00263,38,5,1,0,12,10,4,20281.73,7640.18
R00264,59,3,2,3,12,13,4,68449.58,7435.4
R00265,39,5,1,0,12,13,4,77551.58,10583.92
R00266,45,1,1,2,12,11,4,74203.14,8493.71
R00267,42,1,1,2,12,12,4,80149.09,11654.23
R00268,30,5,1,2,12,10,4,32687.02,5469.12
R00269,28,1,1,2,12,13,4,23465.36,6490.28
R00270,49,1,1,1,12,10,1,76912.25,5305.61
R00271,51,5,1,0,12,13,4,9650.42,2628.45
R00272,38,1,1,3,12,12,1,74851.25,8337.59
R00273,48,1,1,0,12,12,1,128832.29,12167.6
R00274,33,5,1,5,12,12,4,36392.92,5508.91
R00275,45,1,2,4,12,15,1,143169.46,14389.11
R00276,54,1,1,0,12,12,1,126534.95,15823.25
R00277,60,1,1,0,12,14,2,44362.81,1680.36
R00278,38,1,1,3,12,11,4,65477.87,3217.38
R00279,55,3,1,0,12,12,4,33295.83,1817.89
R00280,35,3,1,0,12,14,4,8778.7,3261.48
R00281,56,1,1,0,12,13,1,137723.96,6914.74
R00282,45,5,2,4,12,13,4,26098.75,2630.43
R00283,32,1,1,2,12,12,4,47932.59,5679.46
R00284,33,1,1,1,12,12,4,36103.65,6729.79
R00285,47,1,1,1,12,13,1,41543.65,4188.76
R00286,52,1,1,1,12,15,1,120370.6,5244.98
R00287,52,1,1,1,12,12,1,124659.58,3423.85
R00288,40,5,1,0,12,15,4,6710.36,3940.82
R00289,28,5,1,0,12,13,4,26292,2364.85
R00290,48,3,1,0,12,13,4,72785.04,9011.79
R00291,50,4,1,1,12,15,2,98676.92,7401.12
R00292,53,1,1,0,12,12,2,66888.33,15247.8
R00293,62,5,1,0,12,13,5,13881.61,2504.13
R00294,26,1,1,3,12,12,4,44367.64,11968.99
R00295,56,1,1,0,12,12,1,127944.53,14011.43
R00296,37,3,1,0,12,13,1,56885.37,8374
R00297,62,1,1,0,12,12,2,98043.34,15604.8
R00298,20,5,1,0,12,12,4,41262.32,6030.45
R00299,25,5,1,0,12,13,4,8994.24,4548.05
R00300,50,3,1,0,12,12,1,71358.87,13723.8
R00301,58,5,1,0,12,11,4,33081.18,4789.7
R00302,35,5,1,1,12,12,4,14618.28,8015.38
R00303,69,2,2,0,12,13,2,27876.75,9742.01
R00304,37,1,1,2,12,12,4,107485.74,11871.78
R00305,38,5,1,0,12,0,5,19110.46,5584.66
R00306,62,3,1,0,12,13,2,30205.67,17669.19
R00307,45,1,1,3,12,13,1,210090.68,23268.89
R00308,32,1,2,4,12,11,1,37209.17,23324.38
R00309,35,1,1,3,12,12,1,116562.94,10817.98
R00310,52,1,1,0,12,15,1,44704.64,11865.94
R00311,47,3,1,0,12,13,4,56059.5,4987.99
R00312,43,1,1,1,12,12,4,32088.89,6055.87
R00313,43,1,1,0,12,12,4,32970.35,5668.2
R00314,29,5,1,0,12,13,1,63109.62,6898.87
R00315,29,1,1,2,12,13,1,200852.29,10962.35
R00316,69,1,1,0,12,13,4,49991.19,12582.97
R00317,63,5,1,0,12,13,2,8169.2,2269.27
R00318,71,3,1,0,12,12,1,52131.71,3202.07
R00319,41,5,1,0,12,14,2,44139.26,6890.35
R00320,39,1,1,0,12,15,1,54341,3533.15
R00321,45,4,1,0,12,11,4,40356.97,5044.34
R00322,47,1,1,1,12,12,2,144874.48,6323.84
R00323,53,1,1,0,12,13,1,120230.12,3921.88
R00324,65,2,1,0,12,16,2,12340.16,1198.53
R00325,23,1,1,0,12,13,4,20198.21,1244.21
R00326,42,5,1,0,12,14,4,65155.6,3278.94
R00327,64,1,1,0,12,12,1,157755.35,4259.55
R00328,49,1,1,0,12,13,1,225191.21,3250.83
R00329,54,1,2,0,12,13,4,29143.14,3079.35
R00330,27,1,1,2,12,11,1,1525.28,2796.95
R00331,59,1,1,2,12,15,1,38739.96,4802.42
R00332,54,1,1,2,12,12,4,57736.89,4890.49
R00333,24,5,1,0,12,14,2,58368.53,2621.52
R00334,34,5,1,0,12,13,2,19451.62,1635.97
R00335,60,3,1,0,12,11,4,24057.32,1927.89
R00336,23,1,1,1,12,12,4,65909.29,2198.77
R00337,36,1,1,3,12,11,4,16694.26,2937.69
R00338,37,1,1,4,12,12,1,106450.82,7135.58
R00339,66,1,1,0,12,13,2,110579.62,3233.62
R00340,46,5,2,0,12,11,4,25063.53,2347.86
R00341,55,1,1,3,12,12,1,104375.72,3295.04
R00342,40,1,1,2,12,14,1,92252.81,4609.85
R00343,51,3,1,1,12,12,4,74422.93,10207.75
R00344,38,5,1,0,12,15,4,65175.34,13714.26
R00345,24,5,1,0,12,15,4,70059.73,13328.53
R00346,28,5,1,0,12,12,4,35042.39,5743
R00347,33,5,1,0,12,13,4,65440.43,12219.42
R00348,48,3,1,0,12,15,4,31292.22,11214.67
R00349,27,1,1,2,12,14,1,70146.02,23917.69
R00350,41,5,1,0,12,14,1,145746.9,20093.49
R00351,51,5,1,0,12,12,1,70019.04,9887.31
R00352,63,3,1,0,12,12,1,22899.75,8731.76
R00353,40,5,1,0,12,13,4,55492.19,10908.5
R00354,71,1,1,0,12,11,2,67727.86,8714.34
R00355,36,5,1,0,12,13,2,43594,8996.15
R00356,57,1,2,0,12,15,1,69669.6,7168.06
R00357,60,1,1,0,12,15,1,134114.37,15424.66
R00358,28,1,2,2,12,13,4,38142.13,7922.59
R00359,27,5,2,2,12,14,4,33935.4,9115.4
R00360,38,1,1,3,12,12,4,76210.13,13469.28
R00361,50,1,1,1,12,13,1,71598.45,14852.55
R00362,45,1,1,1,12,12,1,186163.6,22488.18
R00363,39,5,1,0,12,13,4,190254.2,12943.49
R00364,50,1,1,2,12,12,1,219477.29,11815.53
R00365,37,3,1,1,12,13,4,120046.29,10026.45
R00366,43,1,1,2,12,11,2,48108.99,5257.31
R00367,38,4,1,0,12,12,4,28281.86,6637.75
R00368,62,3,1,0,12,13,4,83671.63,8574.64
R00369,30,5,1,0,12,11,4,65843.74,6787.17
R00370,52,2,1,1,12,11,4,27839.23,3992.97
R00371,38,5,1,0,12,12,4,67205.46,6654.75
R00372,38,1,1,3,12,14,4,28238.58,6573.14
R00373,40,1,2,1,12,12,2,82452.08,8264.23
R00374,38,1,1,3,12,12,4,41400.16,6221.05
R00375,57,3,1,0,12,13,1,50719.86,5468.1
R00376,51,3,1,0,12,13,1,87302.17,5317.57
R00377,54,2,1,0,12,15,4,12498.27,1674.6
R00378,63,3,1,0,12,12,2,34528.65,3993.08
R00379,44,1,1,2,12,12,4,23909.24,3171.55
R00380,51,1,1,0,12,14,1,70685.67,2507.35
R00381,36,1,1,2,12,12,1,60422.28,5220.67
R00382,58,1,1,0,12,12,1,99178.07,4660.17
R00383,43,4,1,0,12,12,4,33678.05,1890.13
R00384,64,4,1,0,12,15,1,58949.07,29294.06
R00385,52,3,1,1,12,14,4,74504.61,3422.13
R00386,54,5,1,0,12,13,4,8334.1,1575.33
R00387,45,1,1,1,12,12,1,100128.09,3551.46
R00388,32,5,2,1,12,11,4,25039.81,1667.17
R00389,57,3,1,0,12,12,4,19182.55,952.31
R00390,45,5,1,0,12,12,4,40162.07,2348.81
R00391,48,1,1,4,12,10,1,66690.42,6533.68
R00392,58,1,1,0,12,12,2,158730.29,6153.18
R00393,45,1,1,3,12,14,4,57134.54,3929.53
R00394,19,5,1,0,12,13,6,2984.39,146.49
R00395,64,3,1,0,12,13,1,45042.61,4960.31
R00396,27,5,1,0,12,13,4,90187.59,3416.99
R00397,48,1,2,2,12,13,4,89496.85,6052.83
R00398,59,3,1,0,12,12,1,101969.63,4840.75
R00399,52,3,1,1,12,16,1,2294.43,4332.67
R00400,42,1,1,1,12,15,2,23625.2,12055.67
R00401,30,1,1,3,12,14,1,22308.85,17285.76
R00402,45,3,2,0,12,13,4,33092.61,6974.2
R00403,66,3,1,1,12,14,1,69036.92,14638.51
R00404,70,4,2,0,12,13,2,34038.46,4263.66
R00405,43,1,2,0,12,14,2,110457.59,16397.18
R00406,48,1,1,0,12,12,1,94734.26,17051.08
R00407,46,5,1,0,12,15,1,70225.98,10456.58
R00408,37,1,1,2,12,14,1,103210.29,20973.1
R00409,18,5,1,0,12,12,4,18364.77,19968.56
R00410,47,1,1,0,12,12,2,80423.21,10802.01
R00411,71,1,1,0,12,15,2,42089.93,11763.71
R00412,52,1,1,0,12,12,1,108111.05,44850.92
R00413,54,1,1,0,12,12,1,68898.93,10753.76
R00414,41,1,1,0,12,12,1,89172.77,18441.38
R00415,53,1,1,0,12,11,1,26870.5,11804.56
R00416,58,1,1,1,12,10,4,44118.46,17133.05
R00417,30,1,1,5,12,16,4,30131.5,9160.21
R00418,38,1,1,1,12,13,1,119596.44,21362.95
R00419,38,1,1,3,12,10,4,12037.46,3194.17
R00420,44,1,1,2,12,11,1,20546.5,12129.58
R00421,57,1,1,0,12,15,4,107390.8,11594.61
R00422,53,3,1,0,12,12,2,61244.01,4890.61
R00423,31,1,1,0,12,13,1,137387.66,9596.84
R00424,38,1,1,3,12,12,4,34353.39,9705.33
R00425,27,1,1,1,12,12,2,10928.21,4595.7
R00426,58,3,1,0,12,12,2,159464.24,12975.59
R00427,34,1,1,1,12,10,2,101006.74,8393.7
R00428,43,1,1,0,12,12,4,43024.58,3828.09
R00429,36,1,1,2,12,10,4,60325.16,8700.03
R00430,44,4,1,0,12,12,4,25123.59,8254.61
R00431,66,3,2,0,12,15,1,56986.46,10694.08
R00432,25,1,1,3,12,12,1,52437.84,10605.64
R00433,26,1,2,3,12,12,5,34109.54,3438.64
R00434,43,1,1,2,12,12,2,68523.98,11580.58
R00435,56,5,1,0,12,12,4,68123.75,3119.24
R00436,49,1,1,1,12,11,4,22256.91,2616.5
R00437,53,3,1,0,12,12,1,50450.55,2438.91
R00438,36,1,1,2,12,12,4,49394.79,4614.22
R00439,23,1,1,1,12,10,4,27984.55,1983.66
R00440,29,1,1,0,12,14,1,70023.48,4103.23
R00441,25,1,1,2,12,11,4,31302.69,2416.18
R00442,64,1,1,1,12,10,2,6857.69,2573.46
R00443,20,5,1,0,12,12,4,23539.34,673.22
R00444,58,1,1,0,12,14,1,74404.45,5420.98
R00445,30,1,1,2,12,12,2,72029.25,3219.5
R00446,48,1,1,0,12,12,4,66500.82,3921.63
R00447,32,5,1,0,12,11,4,25260.72,1705.04
R00448,30,1,1,1,12,12,1,61848.91,11496.99
R00449,29,1,1,2,12,12,1,63617.27,3574.46
R00450,61,1,1,0,12,12,1,96152.8,10583.6
R00451,28,1,1,1,12,11,2,37527.75,3242.22
R00452,50,5,1,0,12,13,1,44115.68,3849.75
R00453,32,4,1,0,12,13,4,25058.32,1619.79
R00454,51,1,1,2,12,15,1,84071.45,5613.29
R00455,47,1,1,3,12,15,1,118585.05,20319.71
R00456,28,5,2,4,12,13,1,80040.17,32304.74
R00457,57,3,1,0,12,13,1,40176.61,4213.94
R00458,61,2,1,0,12,13,4,30193.83,5262.32
R00459,55,2,1,0,12,11,5,1508.88,468.05
R00460,38,5,1,0,12,13,4,46477.46,7257.8
R00461,30,5,1,0,12,12,1,45360.78,5022.59
R00462,57,5,1,0,12,12,4,20100.79,9524.03
R00463,48,3,1,0,12,11,2,33374.28,2831.18
R00464,24,5,1,0,12,12,4,32137.95,2861.62
R00465,35,5,1,1,12,11,4,23432.05,2633.14
R00466,34,1,1,2,12,12,1,130491.03,6492.4
R00467,24,1,1,2,12,14,2,51020.66,3510.52
R00468,41,4,1,2,12,12,4,53458.55,7679.55
R00469,23,1,1,3,12,12,4,20478.66,7386.19
R00470,62,1,1,0,12,12,1,135049.67,17254.76
R00471,34,1,1,0,12,12,4,49209.22,8126.68
R00472,20,5,1,0,12,12,4,20934.3,1285.95
R00473,29,4,1,0,12,12,4,114577.05,4836.08
R00474,50,1,1,4,12,11,2,25610.7,1463.05
R00475,35,5,1,1,12,13,4,38043,2828.69
R00476,25,5,1,0,12,13,4,30028.18,9485.94
R00477,36,5,1,0,12,11,4,84452.51,9290.27
R00478,47,1,1,0,12,14,4,54271.41,6728.83
R00479,34,3,1,2,12,13,4,35404.73,6164.27
R00480,55,5,1,0,12,12,2,64214.76,5068.61
R00481,60,3,1,0,12,12,4,84764.52,17018.78
R00482,53,1,2,0,12,12,1,94534.96,10031.43
R00483,57,3,1,0,12,14,1,66142.42,6907.42
R00484,27,1,2,1,12,12,4,59805.86,1700.69
R00485,39,1,1,2,12,16,1,63274.34,3875.43
R00486,46,1,1,2,12,14,1,124570.09,25060.94
R00487,58,1,2,0,12,12,1,100943.67,14449.35
R00488,29,1,1,4,12,12,4,42368.99,9701.05
R00489,65,1,1,0,12,15,2,96126.7,14558.04
R00490,50,1,1,1,12,11,2,120331.97,9809.88
R00491,32,1,1,3,12,12,4,150239.78,20519.84
R00492,37,4,1,0,12,12,1,55262.97,22065.02
R00493,21,5,1,0,12,12,4,41193.29,11346.48
R00494,64,1,1,0,12,12,2,31610.59,7446.57
R00495,61,1,1,0,12,12,1,72095.25,9442.83
R00496,65,3,1,0,12,15,2,50425.94,6951.17
R00497,43,3,1,0,12,14,4,93727.93,25954.01
